Company,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
TataPower,2010-10-26,109.73562175373617,111.36882292432762,109.2689928478529,109.88338470458984,1568842,0,0
TataPower,2010-10-27,108.89180585619151,110.82053300823664,108.1101968727878,109.16011810302734,1374369,0,0
TataPower,2010-10-28,108.7712394732666,111.13549560187602,107.34024104835231,109.89114379882812,5119546,0,0
TataPower,2010-10-29,109.89114770781764,110.88274327615241,107.48023598657274,108.67403411865234,1816351,0,0
TataPower,2010-11-01,108.64681027959503,111.20161137740257,108.44072180231093,109.24176025390625,1198849,0,0
TataPower,2010-11-02,109.22232998134493,110.0389367521884,107.03694830388086,107.56968688964844,1705026,0,0
TataPower,2010-11-03,108.10242030673434,110.0467033105489,106.83862651650851,107.33248138427734,2806364,0,0
TataPower,2010-11-04,107.83799434933428,109.24176697800911,107.83799434933428,108.73236846923828,1786310,0,0
TataPower,2010-11-08,108.49126625751238,109.24564922077273,107.7991070381652,108.3473892211914,1430596,0,0
TataPower,2010-11-09,106.93584691597695,108.49126838373323,106.93584691597695,107.51912689208984,1239895,0,0
TataPower,2010-11-10,107.7291125001325,108.47571135391793,106.54698432635763,107.11860656738281,1126487,0,0
TataPower,2010-11-11,107.40248908617431,110.35779761837287,106.93586012875514,108.70515441894531,2349450,0,0
TataPower,2010-11-12,108.72458965824319,109.8756183408014,106.31367762386034,107.00973510742188,2471375,0,0
TataPower,2010-11-15,106.6247552597215,108.48349908237148,106.18535231254958,108.09075164794922,1348846,0,0
TataPower,2010-11-16,108.67792141533917,108.67792141533917,103.56833155147908,104.60658264160156,2035663,0,0
TataPower,2010-11-18,105.5904007314536,107.12638036604525,101.89624704586089,102.8333969116211,3291526,0,0
TataPower,2010-11-19,103.4361253571993,103.4361253571993,101.10298683810261,102.04013061523438,2506494,0,0
TataPower,2010-11-22,101.63571555630406,105.38041691466034,101.50350853894973,104.81656646728516,2081828,0,0
TataPower,2010-11-23,103.90274724841166,104.35383251115032,100.48080401726503,101.02909851074219,4235251,0,0
TataPower,2010-11-24,101.1068666637298,102.26177504931289,99.25590697837548,100.26304626464844,3157850,0,0
TataPower,2010-11-25,99.82752139844497,102.96948829548477,97.85601258302123,98.98758697509766,5248538,0,0
TataPower,2010-11-26,99.31424057741873,101.49184436247796,97.61104370455477,100.34082794189453,4531877,0,0
TataPower,2010-11-29,101.8029290736088,101.8807026111725,100.32526875144906,101.5773926,1299116,0,0
TataPower,2010-11-30,101.18075423031242,101.88070377922709,99.59032871647258,100.59358215332031,2672584,0,0
TataPower,2010-12-01,100.94354531449468,102.89172033240119,100.44580454823199,102.27732849121094,1962856,0,0
TataPower,2010-12-02,103.5916702064298,104.52492805343607,100.57024608216948,101.42184448242188,2467697,0,0
TataPower,2010-12-03,101.49183041231638,101.95845929150528,100.16971730414485,100.35247802734375,2059559,0,0
TataPower,2010-12-06,101.85736856518686,101.85736856518686,99.93641322331803,100.47303771972656,1139088,0,0
TataPower,2010-12-07,100.0375272553479,102.2229092136698,99.63700178704758,101.41019439697266,1387581,0,0
TataPower,2010-12-08,100.3524784559291,101.26629437300862,99.97528698192686,100.77244567871094,1439881,0,0
TataPower,2010-12-09,100.43026472019712,101.86514932663334,98.02323238896987,99.56311035,2331398,0,0
TataPower,2010-12-10,98.76985004478223,100.09196341234649,98.61430295547419,99.73810577392578,1674073,0,0
TataPower,2010-12-13,99.63698524624004,102.81395634875938,98.06989371925992,101.74070739746094,1846754,0,0
TataPower,2010-12-14,101.64737652925736,102.65840165907123,101.04075653249618,101.97401428222656,1081991,0,0
TataPower,2010-12-15,101.22353064192757,103.35835864164943,100.48470354187002,102.41343688964844,1709710,0,0
TataPower,2010-12-16,101.10298846792332,101.64739094869059,99.04981989754113,100.9007797241211,2110159,0,0
TataPower,2010-12-20,100.72190262212918,100.86967172939137,98.93316043781562,99.41145324707031,1996959,0,0
TataPower,2010-12-21,99.70309775226306,100.46914464611243,99.24813270791418,99.91307830810547,2236695,0,0
TataPower,2010-12-22,100.63636331418468,101.47240584028184,99.78865076010747,100.78412628173828,1532304,0,0
TataPower,2010-12-23,101.38296361489112,101.38296361489112,99.96363496,100.32916259765625,912035,0,0
TataPower,2010-12-24,98.38098324216072,101.87292851641295,98.38098324216072,101.28964233398438,466779,0,0
TataPower,2010-12-27,101.10298538591827,102.8917275559231,101.10298538591827,102.0284652709961,712432,0,0
TataPower,2010-12-28,101.75626712072557,104.1360796,101.25852631948216,103.87942504882812,1582635,0,0
TataPower,2010-12-29,103.98053473585463,105.14710707820383,103.17171206497144,104.32661437988281,1563246,0,0
TataPower,2010-12-30,104.3266068516498,106.9358477190174,103.68110312555683,106.17756652832031,3411400,0,0
TataPower,2010-12-31,105.8587187473437,107.54635963125169,105.75372539370399,106.20091247558594,1817200,0,0
TataPower,2011-01-03,107.63578991749782,107.63578991749782,106.39143799069798,106.9164047241211,1747585,0,0
TataPower,2011-01-04,106.7880811641387,107.63579983525102,106.04536814656922,107.37525939941406,2267182,0,0
TataPower,2011-01-05,107.16916253050697,109.42452737241832,106.47699099288987,108.95012664794922,3228574,0,0
TataPower,2011-01-06,108.49128454498606,109.73563666117366,107.44526142306542,108.8257064819336,2761494,0,0
TataPower,2011-01-07,107.89632730985251,109.41287750817415,107.0213949760971,108.0440902709961,3027490,0,0
TataPower,2011-01-10,108.7245896077043,109.17956080648949,106.1581305,106.77642059326172,3847278,0,0
TataPower,2011-01-11,106.1581345577461,108.56905898036648,104.29161877103823,106.61310577392578,4798971,0,0
TataPower,2011-01-12,106.36811540453336,107.01361915506325,103.82498409629427,105.78093719482422,3858781,0,0
